"id";"key";"category";"subcategory";"name";"appId"
1;"A1";"General";"";"Fecha de lanzamiento";""
2;"A2";"General";"";"Última versión estable";""
3;"A3";"General";"";"Precio de la herramienta";""
4;"A4";"General";"";"Idiomas de la herramienta";""
5;"A5";"General";"";"Popularidad de la herramienta";""
6;"A6";"General";"";"Licencia de la herramienta";""
7;"A7";"General";"";"Principal desarrollador";""
8;"A8";"General";"";"Programado en lenguaje";""
9;"A9";"General";"";"Documentación Disponible";""
10;"A10";"General";"";"Variantes de la aplicación";""
11;"A11";"General";"";"Versión de sistema operativo necesario";""
12;"A12";"General";"Requisitos hardware";"Requisito hardware RAM";""
13;"A13";"General";"Requisitos hardware";"Requisito almacenamiento";""
14;"A14";"General";"Requisitos hardware";"Versión JDK minima";""
15;"A15";"General";"Requisitos hardware";"Requisito de resolución de pantalla ";""
16;"A16";"General";"Rendimiento";"Rendimiento al iniciar aplicación";""
17;"A17";"General";"Rendimiento";"Rendimiento en tiempo de ejecución";""
18;"A18";"General";"Retrocompatibilidad";"Plataformas compatibles";""
19;"A19";"General";"Soporte";"Comunidad de ayuda";""
20;"A20";"General";"Soporte";"Soporte técnico";""
21;"B1";"Uso de herramientas";"";"Sistema de ficheros disponible";"1"
22;"B2";"Uso de herramientas";"";"Librería de código interna de forma nativa";"1"
23;"B3";"Uso de herramientas";"";"Busqueda de funciones avanzadas";"1"
24;"B4";"Uso de herramientas";"";"Reporte de errores";"1"
25;"B5";"Uso de herramientas";"";"Autocompletar código";"1"
26;"B6";"Uso de herramientas";"";"Plugins y extensiones compatibles";"1"
27;"B7";"Uso de herramientas";"";"Resaltador de sintaxis";"1"
28;"B8";"Uso de herramientas";"";"Interfaz de usuario gráfica";"1"
29;"B9";"Uso de herramientas";"";"Lenguajes soportados";"1"
30;"B10";"Uso de herramientas";"";"Herramientas de refactorización";"1"
31;"B11";"Uso de herramientas";"";"Uso de terminal embebida";"1"
32;"B12";"Uso de herramientas";"";"Soporte conexiones SSH";"1"
33;"B13";"Uso de herramientas";"";"SFTP Workspace";"1"
34;"B14";"Uso de herramientas";"";"Plantillas de código";"1"
35;"B15";"Uso de herramientas";"";"Lenguaje extendido soportado";"1"
36;"B16";"Uso de herramientas";"";"Depurador incoporado";"1"
37;"B17";"Uso de herramientas";"";"Desarrollo colaborativo";"1"
38;"B18";"Uso de herramientas";"";"Desarrollo remoto";"1"
39;"B19";"Uso de herramientas";"";"Web IDE";"1"
40;"B20";"Uso de herramientas";"";"Recomendado para usuarios";"1"
41;"B21";"Uso de herramientas";"";"Disponibilidad JRE";"1"
42;"A21";"General";"";"Open Source";""
43;"B23";"Uso de herramientas";"";"Integración con control de versiones (Git / SVN)";"1"
44;"B24";"Uso de herramientas";"";"Mecanismos de generación de código";"1"
45;"B25";"Uso de herramientas";"";"Flujo de trabajo tipico";"1"
48;"B2";"Uso de herramientas";"";"Búsqueda dinámica de dependencias";"2"
49;"B3";"Uso de herramientas";"";"Repositorio público";"2"
50;"B4";"Uso de herramientas";"";"Uso de repositorios de terceros";"2"
51;"B5";"Uso de herramientas";"";"Dependencias de nivel de compilación";"2"
52;"B6";"Uso de herramientas";"";"Espacio de nombres de dependencia";"2"
53;"B7";"Uso de herramientas";"";"Repositorio local (caché)";"2"
54;"B8";"Uso de herramientas";"";"Tipo de construcción";"2"
55;"B9";"Uso de herramientas";"";"Ciclo de vida de compilación";"2"
56;"B10";"Uso de herramientas";"";"Configuración de la herramienta";"2"
57;"B11";"Uso de herramientas";"";"Rangos de versiones";"2"
59;"B1";"Uso de herramientas	";"";"GUI Clientes";"6"
60;"B2";"Uso de herramientas	";"";"Compatibilidad con IDE";"6"
61;"B3";"Uso de herramientas	";"";"Historial de cambios";"6"
62;"B4";"Uso de herramientas";"";"Mutabilidad";"6"
63;"B5";"Uso de herramientas";"";"Modelo de ramas";"6"
64;"B6";"Uso de herramientas";"";"Mantenimiento periodico";"6"
65;"B7";"Uso de herramientas";"";"Beneficios frente al usuario";"6"
66;"B8";"Uso de herramientas";"";"Flujo de trabajo";"6"
67;"B9";"Uso de herramientas";"";"Inicialización de trabajo";"6"
68;"B10";"Uso de herramientas";"";"Usabilidad";"6"
69;"B11";"Uso de herramientas";"";"Seguridad";"6"
70;"A22";"General";"DistribuciÃ³n";"Comercial";""
71;"D1";"Integraciones";"";"JIRA";""
72;"D2";"Integraciones";"";"Trello";""
73;"D3";"Integraciones";"";"Git";""
74;"D4";"Integraciones";"";"CodePlex";""
75;"D5";"Integraciones";"";"Google Code";""
76;"D6";"Integraciones";"";"SVN";""
77;"D7";"Integraciones";"";"SonarQube";""
78;"D8";"Funcionalidades";"";"API";""
79;"D9";"Funcionalidades";"";"Alertas y notificaciones";""
80;"D10";"Funcionalidades";"";"Análisisde vulnerabilidades";""
81;"D11";"Funcionalidades";"";"Análisis en tiempo real";""
82;"D12";"Funcionalidades";"";"Arrastrar y soltar";""
83;"D13";"Funcionalidades";"";"Autenticación";""
84;"D14";"Funcionalidades";"";"Búsqueda/filtro";""
85;"D15";"Funcionalidades";"";"Chat y mensajería";""
86;"D16";"Funcionalidades";"";"Comentarios/notas";""
87;"D17";"Funcionalidades";"";"Control de la fuente";""
88;"D18";"Funcionalidades";"";"Control de procesos de aprobación";""
89;"D19";"Funcionalidades";"";"Control de versiones";""
90;"D20";"Funcionalidades";"";"Controles o permisos de acceso";""
91;"D21";"Funcionalidades";"";"Creación de informes históricos";""
92;"D22";"Funcionalidades";"";"Creación de informes/análisis";""
93;"D23";"Funcionalidades";"";"Depuración";""
94;"D24";"Funcionalidades";"";"Desarrollo de aplicaciones web";""
95;"D25";"Funcionalidades";"";"Desarrollo de software";""
96;"D26";"Funcionalidades";"";"Desarrollo móvil";""
97;"D27";"Funcionalidades";"";"Entrega continua";""
98;"D28";"Funcionalidades";"";"Escaneo de código fuente";""
99;"D29";"Funcionalidades";"";"Escaneo multidioma";""
100;"D30";"Funcionalidades";"";"Flujo de trabajo basado en reglas";""
101;"D31";"Funcionalidades";"";"Flujo de trabajo de aprobación";""
102;"D32";"Funcionalidades";"";"Garantía de calidad";""
103;"D33";"Funcionalidades";"";"Gestión de asignaciones";""
104;"D34";"Funcionalidades";"";"Gestión de carteras";""
105;"D35";"Funcionalidades";"";"Gestión de configuración";""
106;"D36";"Funcionalidades";"";"Gestión de correo electrónico";""
107;"D37";"Funcionalidades";"";"Gestión de flujos de trabajo";""
108;"D38";"Funcionalidades";"";"Gestión de implementación";""
109;"D39";"Funcionalidades";"";"Gestión de la conformidad";""
110;"D40";"Funcionalidades";"";"Gestión de modelos";""
111;"D41";"Funcionalidades";"";"Gestión de plazos de entrega";""
112;"D42";"Funcionalidades";"";"Gestión de problemas";""
113;"D43";"Funcionalidades";"";"Gestión de proyectos";""
114;"D44";"Funcionalidades";"";"Gestión de tareas";""
115;"D45";"Funcionalidades";"";"Gestión de tests";""
116;"D46";"Funcionalidades";"";"Gestión de versiones";""
117;"D47";"Funcionalidades";"";"Gestión del calendario";""
118;"D48";"Funcionalidades";"";"Gestión del cambio";""
119;"D49";"Funcionalidades";"";"Gestión del ciclo de vida";""
120;"D50";"Funcionalidades";"";"Herramientas de colaboración";""
121;"D51";"Funcionalidades";"";"Implementación continua";""
122;"D52";"Funcionalidades";"";"Informes de resolución de problemas";""
123;"D53";"Funcionalidades";"";"Integraciones de terceros";""
124;"D54";"Funcionalidades";"";"Lista de tareas (to-do list)";""
125;"D55";"Funcionalidades";"";"Modelos personalizables";""
126;"D56";"Funcionalidades";"";"Métricas de rendimiento";""
127;"D57";"Funcionalidades";"";"Panel de comunicaciones";""
128;"D58";"Funcionalidades";"";"Para desarrolladores";""
129;"D59";"Funcionalidades";"";"Plantillas de proyecto";""
130;"D60";"Funcionalidades";"";"Priorización";""
131;"D61";"Funcionalidades";"";"Proyecciones";""
132;"D62";"Funcionalidades";"";"Registro de auditoría";""
133;"D63";"Funcionalidades";"";"Registro de compilación";""
134;"D64";"Funcionalidades";"";"Seguimiento de actividades";""
135;"D65";"Funcionalidades";"";"Seguimiento de hitos";""
136;"D66";"Funcionalidades";"";"Seguimiento de horas de proyecto";""
137;"D67";"Funcionalidades";"";"Seguimiento de problemas";""
138;"D68";"Funcionalidades";"";"Seguimiento de progreso de tareas";""
139;"D69";"Funcionalidades";"";"Seguridad de aplicaciones";""
140;"D70";"Funcionalidades";"";"Supervisión";""
141;"D71";"Funcionalidades";"";"Supervisión KPI";""
142;"D72";"Funcionalidades";"";"Tablero kanban";""
143;"D73";"Funcionalidades";"";"Test de compatibilidad";""
144;"B1";"Uso de herramientas";"";"Enfoque empresarial";"8"
145;"B2";"Uso de herramientas";"";"Características incluidas";"8"
146;"B3";"Uso de herramientas";"";"Velocidad de innovación";"8"
147;"B4";"Uso de herramientas";"";"Funcionamiento en la búsqueda código";"8"
148;"B5";"Uso de herramientas";"";"Entrega continua integrada";"8"
149;"B6";"Uso de herramientas";"";"Permisos de ramas graduales";"8"
150;"B7";"Uso de herramientas";"";"Git Large File Storage";"8"
151;"B8";"Uso de herramientas";"";"Autenticación de dos factores";"8"
152;"B9";"Uso de herramientas";"";"Funcionalidad Wiki";"8"
153;"B10";"Uso de herramientas";"";"Complementos y plugins";"8"
154;"B11";"Uso de herramientas";"";"Servicio cantidad";"8"
157;"B1";"Uso de herramientas";"";"Generalidad del aplicativo";"3"
158;"B2";"Uso de herramientas";"";"Facilidad de uso";"3"
159;"B3";"Uso de herramientas";"";"Flexibilidad ";"3"
160;"B4";"Uso de herramientas";"";"Instalacciones integradas";"3"
161;"B5";"Uso de herramientas";"";"Recomendado para usuarios";"3"
162;"D8";"Integraciones";"";"Balsamiq";""
163;"D9";"Integraciones";"";"Bitbucket";""
164;"D10";"Integraciones";"";"Confluence";""
165;"D11";"Integraciones";"";"GitHub";""
166;"D12";"Integraciones";"";"Gliffy";""
167;"D13";"Integraciones";"";"Harvest";""
168;"D14";"Integraciones";"";"HipChat";""
169;"D15";"Integraciones";"";"Hubstaff";""
170;"D16";"Integraciones";"";"Jira";""
171;"D17";"Integraciones";"";"Lucidchart";""
172;"D18";"Integraciones";"";"Microsoft Outlook";""
173;"D19";"Integraciones";"";"Salesforce Sales Cloud";""
174;"D20";"Integraciones";"";"Zendesk";""
175;"D21";"Integraciones";"";"Zephyr";""
176;"B1";"Uso de herramientas";"";"Configuración tras instalacción";"7"
177;"B2";"Uso de herramientas";"";"Rendimiento";"7"
178;"B3";"Uso de herramientas";"";"Facilidad de uso";"7"
179;"B4";"Uso de herramientas";"";"Tipo de hosting";"7"
180;"B5";"Uso de herramientas";"";"Fichero de configuración ";"7"
181;"B6";"Uso de herramientas";"";"Control del sistema";"7"
182;"B7";"Uso de herramientas";"";"Seguridad";"7"
183;"B8";"Uso de herramientas";"";"Lenguajes soportados";"7"
184;"B9";"Uso de herramientas";"";"Plugins";"7"
185;"B10";"Uso de herramientas";"";"Integraciones en la nube";"7"
186;"E67";"Funcionalidades";"";"Compatibilidad multidispositivo";""
187;"E68";"Funcionalidades";"";"Control/Acceso remoto";""
188;"E69";"Funcionalidades";"";"Desktop as a service (DaaS)";""
189;"E70";"Funcionalidades";"";"Flujo de trabajo configurable";""
190;"E71";"Funcionalidades";"";"Gestión de configuración";""
191;"E72";"Funcionalidades";"";"Instalación y actualización remotas";""
192;"E73";"Funcionalidades";"";"Interfaz gráfica de usuario";""
193;"E74";"Funcionalidades";"";"Monitorización y gestión remota";""
194;"E75";"Funcionalidades";"";"Panel de actividades";""
195;"E76";"Funcionalidades";"";"Sincronización de datos";""
196;"E77";"Funcionalidades";"";"Supervisión en tiempo real";""
197;"E78";"Funcionalidades";"";"VDI";""
198;"E79";"Funcionalidades";"";"Virtualización de escritorio";""
199;"E80";"Funcionalidades";"";"Virtualización de escritorio/aplicación";""
200;"B1";"Uso de herramientas";"";"Tipo de procesos";"9"
201;"B2";"Uso de herramientas";"";"Aislamiento de la VM";"9"
202;"B3";"Uso de herramientas";"";"Configuración SO en VM";"9"
203;"B4";"Uso de herramientas";"";"Configuración instalacción";"9"
204;"B5";"Uso de herramientas";"";"Tamaño de las imagenes";"9"
205;"B6";"Uso de herramientas";"";"Portabilidad";"9"
206;"B7";"Uso de herramientas";"";"Velocidad creación VM";"9"
207;"B8";"Uso de herramientas";"";"Tiempo de instalacción";"9"
208;"B1";"Uso de herramientas";"";"Facilidad de uso";"4"
209;"B2";"Uso de herramientas";"";"Mayor compatibilidad con IDE";"4"
210;"B3";"Uso de herramientas";"";"Implementación de anotaciones";"4"
211;"B4";"Uso de herramientas";"";"Implementación de afirmaciones";"4"
212;"B5";"Uso de herramientas";"";"Excepciones";"4"
213;"B6";"Uso de herramientas";"";"Tiempo de espera para las pruebas";"4"
214;"C1";"Tipos de pruebas soportadas";"";"Pruebas parametrizadas";"4"
215;"B7";"Uso de herramientas";"";"Banco de pruebas";"4"
216;"C2";"Tipos de pruebas soportadas";"";"Prueba de dependencia";"4"
217;"B8";"Uso de herramientas";"";"Ejecución de prueba en paralelo";"4"
218;"B9";"Uso de herramientas";"";"Integración de Maven";"4"
219;"B10";"Uso de herramientas";"";"Implementaciones de supuestos";"4"
220;"B11";"Uso de herramientas";"";"Orden de ejecución de la prueba";"4"
221;"B12";"Uso de herramientas";"";"Implementación de oyentes";"4"
222;"B13";"Uso de herramientas";"";"Ignorar pruebas";"4"
223;"B14";"Uso de herramientas";"";"Reportando";"4"
224;"F1";"Sintaxis de anotaciones";"";"Prueba de anotación";"4"
225;"F2";"Sintaxis de anotaciones";"";"Ejecutar antes de que se invoque el primer método de prueba de la clase actual.";"4"
226;"F3";"Sintaxis de anotaciones";"";"Ejecutar despues de que se hayan ejecutado todos los métodos de prueba en la clase actual.";"4"
227;"F4";"Sintaxis de anotaciones";"";"Ejecutar antes de cada método de prueba";"4"
228;"F5";"Sintaxis de anotaciones";"";"Ejecutar despues de cada método de prueba";"4"
229;"F6";"Sintaxis de anotaciones";"";"Ignorar prueba";"4"
230;"F7";"Sintaxis de anotaciones";"";"Excepción esperada";"4"
231;"F8";"Sintaxis de anotaciones";"";"Se acabá el tiempo";"4"
232;"F9";"Sintaxis de anotaciones";"";"Ejecutar antes de que se hayan ejecutado todas las pruebas de esta suite";"4"
233;"F10";"Sintaxis de anotaciones";"";"Ejecutar despues de que se hayan ejecutado todas las pruebas de esta suite.";"4"
234;"F11";"Sintaxis de anotaciones";"";"Ejecutar antes de la prueba";"4"
235;"F12";"Sintaxis de anotaciones";"";"Ejecutar despues de la prueba";"4"
236;"F13";"Sintaxis de anotaciones";"";"Ejecute antes de que se invoque el primer método de prueba que pertenezca a cualquiera de estos grupos.";"4"
237;"F14";"Sintaxis de anotaciones";"";"Ejecutar despues de invocar el último método de prueba que pertenece a cualquiera de estos grupos.";"4"
238;"B1";"Uso de herramientas";"";"Lenguajes soportados";"5"
239;"B2";"Uso de herramientas";"";"Es un framework";"5"
240;"B3";"Uso de herramientas";"";"Capacidades Web";"5"
241;"B4";"Uso de herramientas";"";"Herramienta de automatización";"5"
242;"B5";"Uso de herramientas";"";"Legibilidad de la escritura";"5"
243;"B6";"Uso de herramientas";"";"Instalacción de la herramienta";"5"
244;"B7";"Uso de herramientas";"";"Fiabilidad de la herramienta";"5"
245;"B8";"Uso de herramientas";"";"Uso general";"5"
246;"B9";"Uso de herramientas";"";"Declaraciones condicionales";"5"
247;"B10";"Uso de herramientas";"";"Identificar errores";"5"
248;"B11";"Uso de herramientas";"";"Plugins";"5"
249;"B12";"Uso de herramientas";"";"Perfil de usuario orientado";"5"
250;"B13";"Uso de herramientas";"";"Estructura de configuración";"5"
251;"E81";"Funcionalidades";"";"Almacenamiento seguro de datos";""
252;"E82";"Funcionalidades";"";"Auditoría de seguridad";""
253;"E83";"Funcionalidades";"";"Creación de informes en tiempo real";""
254;"E84";"Funcionalidades";"";"Creación de informes y estadadisticas";""
255;"E85";"Funcionalidades";"";"Datos en tiempo real";""
256;"E86";"Funcionalidades";"";"Entorno de desarrollo integrado";""
257;"E87";"Funcionalidades";"";"Importación y exportación de datos";""
258;"E88";"Funcionalidades";"";"Notificaciones en tiempo real";""
259;"B1";"Uso de herramientas";"";"Lenguajes soportados";"10"
260;"D22";"Integraciones";"";"Artifactory";""
261;"D23";"Integraciones";"";"Bugzilla";""
262;"D24";"Integraciones";"";"Docker";""
263;"D25";"Integraciones";"";"GitLab";""
264;"D26";"Integraciones";"";"Microsoft Azure";""
